Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2017-12-16,ANA,Washington Capitals,L,2,3,LAC,Miami Heat,L,85,90
2017-12-18,ANA,New Jersey Devils,L,3,5,LAC,San Antonio Spurs,L,91,109
2017-12-23,ANA,Pittsburgh Penguins,W,4,0,LAC,Memphis Grizzlies,L,112,115
2017-12-29,ANA,Calgary Flames,W,2,1,LAC,Los Angeles Lakers,W,121,106
2017-12-31,ANA,Arizona Coyotes,W,5,2,LAC,Charlotte Hornets,W,106,98
2018-01-02,ANA,Vancouver Canucks,W,5,0,LAC,Memphis Grizzlies,W,113,105
2018-01-04,ANA,Edmonton Oilers,L,1,2,LAC,Oklahoma City Thunder,L,117,127
2018-01-06,ANA,Calgary Flames,L,2,3,LAC,Golden State Warriors,L,105,121
2018-01-13,ANA,Los Angeles Kings,W,4,2,LAC,Sacramento Kings,W,126,105
2018-01-15,ANA,Colorado Avalanche,L,1,3,LAC,Houston Rockets,W,113,102
2018-01-17,ANA,Pittsburgh Penguins,W,5,3,LAC,Denver Nuggets,W,109,104
2018-01-30,ANA,Boston Bruins,W,3,1,LAC,Portland Trail Blazers,L,96,104
2018-02-03,ANA,Montreal Canadiens,L,2,5,LAC,Chicago Bulls,W,113,103
2018-02-05,ANA,Toronto Maple Leafs,L,4,7,LAC,Dallas Mavericks,W,104,101
2018-02-09,ANA,Edmonton Oilers,W,3,2,LAC,Detroit Pistons,W,108,95
2018-03-02,ANA,Columbus Blue Jackets,W,4,2,LAC,New York Knicks,W,128,105
2018-03-04,ANA,Chicago Blackhawks,W,6,3,LAC,Brooklyn Nets,W,123,120
2018-03-06,ANA,Washington Capitals,W,4,0,LAC,New Orleans Pelicans,L,116,121
2018-03-09,ANA,Dallas Stars,L,1,2,LAC,Cleveland Cavaliers,W,116,102
2018-03-16,ANA,Detroit Red Wings,W,4,2,LAC,Oklahoma City Thunder,L,113,121
2018-03-18,ANA,New Jersey Devils,W,4,2,LAC,Portland Trail Blazers,L,109,122
2018-03-21,ANA,Calgary Flames,W,4,0,LAC,Milwaukee Bucks,W,127,120
2018-03-23,ANA,Winnipeg Jets,L,2,3,LAC,Indiana Pacers,L,104,109
2018-03-25,ANA,Edmonton Oilers,W,5,4,LAC,Toronto Raptors,W,117,106
2018-03-27,ANA,Vancouver Canucks,L,1,4,LAC,Milwaukee Bucks,W,105,98
2018-03-30,ANA,Los Angeles Kings,W,2,1,LAC,Portland Trail Blazers,L,96,105
2018-04-01,ANA,Colorado Avalanche,W,4,3,LAC,Indiana Pacers,L,104,111
2018-04-07,ANA,Arizona Coyotes,W,3,0,LAC,Denver Nuggets,L,115,134
2018-10-17,ANA,New York Islanders,W,4,1,LAC,Denver Nuggets,L,98,107
2018-10-21,ANA,Buffalo Sabres,L,2,4,LAC,Houston Rockets,W,115,112
2018-10-23,ANA,Chicago Blackhawks,L,1,3,LAC,New Orleans Pelicans,L,109,116
2018-10-28,ANA,San Jose Sharks,L,3,4,LAC,Washington Wizards,W,136,104
2018-10-30,ANA,Philadelphia Flyers,L,2,3,LAC,Oklahoma City Thunder,L,110,128
2018-11-01,ANA,New York Rangers,L,2,3,LAC,Philadelphia 76ers,L,113,122
2018-11-12,ANA,Nashville Predators,W,2,1,LAC,Golden State Warriors,W,121,116
2018-11-23,ANA,Edmonton Oilers,W,2,1,LAC,Memphis Grizzlies,W,112,107
2018-11-25,ANA,Nashville Predators,L,2,5,LAC,Portland Trail Blazers,W,104,100
2018-11-28,ANA,Florida Panthers,W,3,2,LAC,Phoenix Suns,W,115,99
2018-12-02,ANA,Washington Capitals,W,6,5,LAC,Dallas Mavericks,L,110,114
2018-12-05,ANA,Chicago Blackhawks,W,4,2,LAC,Memphis Grizzlies,L,86,96
2018-12-15,ANA,Columbus Blue Jackets,W,2,1,LAC,Oklahoma City Thunder,L,104,110
2018-12-17,ANA,Pittsburgh Penguins,W,4,2,LAC,Portland Trail Blazers,L,127,131
2018-12-20,ANA,Boston Bruins,L,1,3,LAC,Dallas Mavericks,W,125,121
2018-12-22,ANA,Buffalo Sabres,L,0,3,LAC,Denver Nuggets,W,132,111
2018-12-29,ANA,Arizona Coyotes,L,4,5,LAC,San Antonio Spurs,L,111,122
2019-01-04,ANA,Vegas Golden Knights,L,2,3,LAC,Phoenix Suns,W,121,111
2019-01-06,ANA,Edmonton Oilers,L,0,4,LAC,Orlando Magic,W,106,96
2019-01-20,ANA,New York Islanders,L,0,3,LAC,San Antonio Spurs,W,103,95
2019-01-23,ANA,St. Louis Blues,L,1,5,LAC,Miami Heat,W,111,99
