Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2019-11-05,BOS,Montreal Canadiens,L,4,5,BOS,Cleveland Cavaliers,W,119,113
2019-11-15,BOS,Toronto Maple Leafs,W,4,2,BOS,Golden State Warriors,W,105,100
2019-11-27,BOS,Ottawa Senators,W,2,1,BOS,Brooklyn Nets,W,121,110
2019-11-29,BOS,New York Rangers,W,3,2,BOS,Brooklyn Nets,L,107,112
2019-12-01,BOS,Montreal Canadiens,W,3,1,BOS,New York Knicks,W,113,104
2019-12-09,BOS,Ottawa Senators,L,2,5,BOS,Cleveland Cavaliers,W,110,88
2019-12-11,BOS,Washington Capitals,L,2,3,BOS,Indiana Pacers,L,117,122
2019-12-12,BOS,Tampa Bay Lightning,L,2,3,BOS,Philadelphia 76ers,L,109,115
2019-12-27,BOS,Buffalo Sabres,W,3,0,BOS,Cleveland Cavaliers,W,129,117
2019-12-31,BOS,New Jersey Devils,L,2,3,BOS,Charlotte Hornets,W,109,92
2020-01-04,BOS,Edmonton Oilers,L,1,4,BOS,Chicago Bulls,W,111,104
2020-01-09,BOS,Winnipeg Jets,W,5,4,BOS,Philadelphia 76ers,L,98,109
2020-01-11,BOS,New York Islanders,W,3,2,BOS,New Orleans Pelicans,W,140,105
2020-01-13,BOS,Philadelphia Flyers,L,5,6,BOS,Chicago Bulls,W,113,101
2020-01-16,BOS,Pittsburgh Penguins,W,4,1,BOS,Milwaukee Bucks,L,123,128
2020-02-01,BOS,Minnesota Wild,W,6,1,BOS,Philadelphia 76ers,W,116,95
2020-02-05,BOS,Chicago Blackhawks,W,2,1,BOS,Orlando Magic,W,116,100
2020-02-09,BOS,Detroit Red Wings,L,1,3,BOS,Oklahoma City Thunder,W,112,111
2020-02-21,BOS,Calgary Flames,W,4,3,BOS,Minnesota Timberwolves,W,127,117
2020-02-25,BOS,Calgary Flames,L,2,5,BOS,Portland Trail Blazers,W,118,106
2020-02-29,BOS,New York Islanders,W,4,0,BOS,Houston Rockets,L,110,111
2020-03-03,BOS,Tampa Bay Lightning,W,2,1,BOS,Brooklyn Nets,L,120,129
2020-03-10,BOS,Philadelphia Flyers,W,2,0,BOS,Indiana Pacers,W,114,111
2021-01-30,BOS,Washington Capitals,L,3,4,BOS,Los Angeles Lakers,L,95,96
2021-02-03,BOS,Philadelphia Flyers,W,4,3,BOS,Sacramento Kings,L,111,116
2021-02-05,BOS,Philadelphia Flyers,W,2,1,BOS,Los Angeles Clippers,W,119,115
2021-02-12,BOS,New York Rangers,W,1,0,BOS,Detroit Pistons,L,102,108
2021-02-21,BOS,Philadelphia Flyers,W,7,3,BOS,New Orleans Pelicans,L,115,120
2021-02-26,BOS,New York Rangers,L,2,6,BOS,Indiana Pacers,W,118,112
2021-02-28,BOS,New York Rangers,W,4,1,BOS,Washington Wizards,W,111,110
2021-03-11,BOS,New York Rangers,W,4,0,BOS,Brooklyn Nets,L,109,121
2021-03-16,BOS,Pittsburgh Penguins,W,2,1,BOS,Utah Jazz,L,109,117
2021-03-27,BOS,Buffalo Sabres,W,3,2,BOS,Oklahoma City Thunder,W,111,94
2021-04-06,BOS,Philadelphia Flyers,W,4,2,BOS,Philadelphia 76ers,L,96,106
2021-04-11,BOS,Washington Capitals,L,1,8,BOS,Denver Nuggets,W,105,87
2021-04-13,BOS,Buffalo Sabres,W,3,2,BOS,Portland Trail Blazers,W,116,115
2021-04-15,BOS,New York Islanders,W,4,1,BOS,Los Angeles Lakers,W,121,113
2021-04-22,BOS,Buffalo Sabres,W,5,1,BOS,Phoenix Suns,W,99,86
2021-04-23,BOS,Buffalo Sabres,L,4,6,BOS,Brooklyn Nets,L,104,109
2021-04-25,BOS,Pittsburgh Penguins,L,0,1,BOS,Charlotte Hornets,L,104,125
2021-04-27,BOS,Pittsburgh Penguins,W,3,1,BOS,Oklahoma City Thunder,L,115,119
2021-05-11,BOS,Washington Capitals,L,1,2,BOS,Miami Heat,L,121,129
2021-10-20,BOS,Philadelphia Flyers,L,3,6,BOS,New York Knicks,L,134,138
2021-10-22,BOS,Buffalo Sabres,W,4,1,BOS,Toronto Raptors,L,83,115
