Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2016-12-13,MIN,Florida Panthers,W,5,1,MIN,Chicago Bulls,W,99,94
2016-12-17,MIN,Arizona Coyotes,W,4,1,MIN,Houston Rockets,L,109,111
2016-12-23,MIN,New York Rangers,W,7,4,MIN,Sacramento Kings,L,105,109
2017-01-07,MIN,Los Angeles Kings,L,3,4,MIN,Utah Jazz,L,92,94
2017-01-15,MIN,Chicago Blackhawks,W,3,2,MIN,Dallas Mavericks,L,87,98
2017-01-17,MIN,New Jersey Devils,L,3,4,MIN,San Antonio Spurs,L,114,122
2017-01-19,MIN,Arizona Coyotes,W,4,3,MIN,Los Angeles Clippers,W,104,101
2017-01-22,MIN,Nashville Predators,L,2,4,MIN,Denver Nuggets,W,111,108
2017-01-24,MIN,Dallas Stars,W,3,2,MIN,Phoenix Suns,W,112,111
2017-01-26,MIN,St. Louis Blues,W,5,1,MIN,Indiana Pacers,L,103,109
2017-02-01,MIN,Calgary Flames,L,1,5,MIN,Cleveland Cavaliers,L,97,125
2017-02-04,MIN,Vancouver Canucks,W,6,3,MIN,Memphis Grizzlies,L,99,107
2017-02-08,MIN,Chicago Blackhawks,L,3,4,MIN,Toronto Raptors,W,112,109
2017-02-10,MIN,Tampa Bay Lightning,W,2,1,MIN,New Orleans Pelicans,L,106,122
2017-02-12,MIN,Detroit Red Wings,W,6,3,MIN,Chicago Bulls,W,117,89
2017-02-14,MIN,Anaheim Ducks,L,0,1,MIN,Cleveland Cavaliers,L,108,116
2017-02-27,MIN,Los Angeles Kings,W,5,4,MIN,Sacramento Kings,W,102,88
2017-03-10,MIN,Florida Panthers,W,7,4,MIN,Golden State Warriors,W,103,102
2017-03-19,MIN,Winnipeg Jets,L,4,5,MIN,New Orleans Pelicans,L,109,123
2017-03-21,MIN,San Jose Sharks,W,3,2,MIN,San Antonio Spurs,L,93,100
2017-03-25,MIN,Vancouver Canucks,L,2,4,MIN,Portland Trail Blazers,L,100,112
2017-03-28,MIN,Washington Capitals,L,4,5,MIN,Indiana Pacers,W,115,114
2017-03-30,MIN,Ottawa Senators,W,5,1,MIN,Los Angeles Lakers,W,119,104
2017-04-01,MIN,Nashville Predators,L,0,3,MIN,Sacramento Kings,L,117,123
2017-04-04,MIN,Carolina Hurricanes,W,5,3,MIN,Golden State Warriors,L,107,121
2017-04-06,MIN,Colorado Avalanche,W,4,3,MIN,Portland Trail Blazers,L,98,105
2017-10-20,MIN,Winnipeg Jets,L,3,4,MIN,Utah Jazz,W,100,97
2017-10-24,MIN,Vancouver Canucks,L,0,1,MIN,Indiana Pacers,L,107,130
2017-11-04,MIN,Chicago Blackhawks,L,0,2,MIN,Dallas Mavericks,W,112,99
2017-11-08,MIN,Toronto Maple Leafs,L,2,4,MIN,Golden State Warriors,L,101,125
2017-11-11,MIN,Philadelphia Flyers,W,1,0,MIN,Phoenix Suns,L,110,118
2017-11-20,MIN,New Jersey Devils,L,3,4,MIN,Charlotte Hornets,L,102,118
2017-11-22,MIN,Buffalo Sabres,W,5,4,MIN,Orlando Magic,W,124,118
2017-11-24,MIN,Colorado Avalanche,W,3,2,MIN,Miami Heat,L,97,109
