Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2018-12-16,NYR,Vegas Golden Knights,L,3,4,NYK,Indiana Pacers,L,99,110
2018-12-27,NYR,Columbus Blue Jackets,L,3,4,NYK,Milwaukee Bucks,L,96,112
2018-12-29,NYR,Nashville Predators,W,4,3,NYK,Utah Jazz,L,97,129
2019-01-04,NYR,Colorado Avalanche,L,1,6,NYK,Los Angeles Lakers,W,119,112
2019-01-08,NYR,Vegas Golden Knights,L,2,4,NYK,Golden State Warriors,L,95,122
2019-01-13,NYR,Columbus Blue Jackets,L,5,7,NYK,Philadelphia 76ers,L,105,108
2019-01-17,NYR,Chicago Blackhawks,W,4,3,NYK,Washington Wizards,L,100,101
2019-02-08,NYR,Carolina Hurricanes,L,0,3,NYK,Detroit Pistons,L,103,120
2019-02-24,NYR,Washington Capitals,L,5,6,NYK,San Antonio Spurs,W,130,118
2019-03-03,NYR,Washington Capitals,L,2,3,NYK,Los Angeles Clippers,L,107,128
2019-03-09,NYR,New Jersey Devils,W,4,2,NYK,Sacramento Kings,L,94,102
2019-03-15,NYR,Calgary Flames,L,1,5,NYK,San Antonio Spurs,L,83,109
2019-04-01,NYR,New Jersey Devils,L,2,4,NYK,Chicago Bulls,W,113,105
2019-04-03,NYR,Ottawa Senators,L,1,4,NYK,Orlando Magic,L,100,114
2019-04-05,NYR,Columbus Blue Jackets,L,2,3,NYK,Houston Rockets,L,96,120
2019-11-06,NYR,Detroit Red Wings,W,5,1,NYK,Detroit Pistons,L,102,122
2019-11-10,NYR,Florida Panthers,L,5,6,NYK,Cleveland Cavaliers,L,87,108
2019-11-12,NYR,Pittsburgh Penguins,W,3,2,NYK,Chicago Bulls,L,102,120
2019-11-14,NYR,Tampa Bay Lightning,L,3,9,NYK,Dallas Mavericks,W,106,103
2019-11-16,NYR,Florida Panthers,L,3,4,NYK,Charlotte Hornets,L,102,103
2019-11-20,NYR,Washington Capitals,W,4,1,NYK,Philadelphia 76ers,L,104,109
2019-11-23,NYR,Montreal Canadiens,W,6,5,NYK,San Antonio Spurs,L,104,111
2019-11-27,NYR,Carolina Hurricanes,W,3,2,NYK,Toronto Raptors,L,98,126
2019-11-29,NYR,Boston Bruins,L,2,3,NYK,Philadelphia 76ers,L,95,101
2019-12-02,NYR,Vegas Golden Knights,L,1,4,NYK,Milwaukee Bucks,L,88,132
2019-12-05,NYR,Columbus Blue Jackets,W,3,2,NYK,Denver Nuggets,L,92,129
2019-12-10,NYR,Los Angeles Kings,L,1,3,NYK,Portland Trail Blazers,L,87,115
2019-12-20,NYR,Toronto Maple Leafs,L,3,6,NYK,Miami Heat,L,114,129
2019-12-23,NYR,Philadelphia Flyers,L,1,5,NYK,Washington Wizards,L,115,121
2019-12-28,NYR,Toronto Maple Leafs,W,5,4,NYK,Washington Wizards,W,107,100
2020-01-07,NYR,Colorado Avalanche,W,5,3,NYK,Los Angeles Lakers,L,87,117
2020-01-16,NYR,New York Islanders,W,3,2,NYK,Phoenix Suns,L,98,121
2020-02-01,NYR,Detroit Red Wings,W,1,0,NYK,Indiana Pacers,W,92,85
2020-02-03,NYR,Dallas Stars,L,3,5,NYK,Cleveland Cavaliers,W,139,134
2020-02-09,NYR,Los Angeles Kings,W,4,1,NYK,Atlanta Hawks,L,135,140
2020-02-21,NYR,Carolina Hurricanes,W,5,2,NYK,Indiana Pacers,L,98,106
2020-02-27,NYR,Montreal Canadiens,W,5,2,NYK,Philadelphia 76ers,L,106,115
2020-03-10,NYR,Dallas Stars,W,4,2,NYK,Washington Wizards,L,115,122
2020-03-11,NYR,Colorado Avalanche,L,2,3,NYK,Atlanta Hawks,W,136,131
2021-01-22,NYR,Pittsburgh Penguins,L,3,4,NYK,Sacramento Kings,L,94,103
2021-01-24,NYR,Pittsburgh Penguins,L,2,3,NYK,Portland Trail Blazers,L,113,116
2021-01-26,NYR,Buffalo Sabres,L,2,3,NYK,Utah Jazz,L,94,108
2021-02-01,NYR,Pittsburgh Penguins,W,3,1,NYK,Chicago Bulls,L,102,110
2021-02-12,NYR,Boston Bruins,L,0,1,NYK,Washington Wizards,W,109,91
2021-02-28,NYR,Boston Bruins,L,1,4,NYK,Detroit Pistons,W,109,90
2021-03-02,NYR,Buffalo Sabres,W,3,2,NYK,San Antonio Spurs,L,93,119
2021-03-04,NYR,New Jersey Devils,W,6,1,NYK,Detroit Pistons,W,114,104
2021-03-11,NYR,Boston Bruins,L,0,4,NYK,Milwaukee Bucks,L,101,134
2021-03-13,NYR,Boston Bruins,W,4,0,NYK,Oklahoma City Thunder,W,119,97
2021-03-15,NYR,Philadelphia Flyers,L,4,5,NYK,Brooklyn Nets,L,112,117
